# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 0.5, r = 1.000000e+10 cm, r = 16832.386518751366 rg, structure = BellLin, mu = 0.62
2.150778025203858235e+01 1.000000000000000000e+04 1.803439570257686800e+16 2.907351116975877209e+34 2.826061535405451769e-02 6.148371907056361122e-08 3.615492781062889844e+04 2.981055927037737565e+05 4.133249991172658611e+02 1.445538428070585781e-02 3.744501758655118095e+01 4.334969011544867357e+00 6.189048005569530719e-01 1.143117635728687631e+00 4.418663311853996967e-01 
2.124193361772394084e+01 9.954061083088736268e+03 1.770528004477206800e+16 2.854293903908498768e+34 2.805989095585195714e-02 6.093835776477545762e-08 3.593770548160533508e+04 2.936862317820544122e+05 4.108719379902090623e+02 1.432344761981987381e-02 3.767413918328634992e+01 4.299999124756989310e+00 6.211368946419764114e-01 1.142916587445099497e+00 4.415790762318847484e-01 
2.097918840234575555e+01 9.908333204586158899e+03 1.738217052756644000e+16 2.802204949487969271e+34 2.785853705495762792e-02 6.039835042685784158e-08 3.572196171519397467e+04 2.893362669013938284e+05 4.084429340399757393e+02 1.419280053585122298e-02 3.790454085233974979e+01 4.264656028381707209e+00 6.234122092903574552e-01 1.142712503787056022e+00 4.412781347751140726e-01 
2.071950764314116000e+01 9.862815395004698075e+03 1.706495754291190000e+16 2.751066583641707531e+34 2.765655112594258419e-02 5.986367861938434174e-08 3.550769487157263939e+04 2.850548111773901037e+05 4.060389309497556383e+02 1.406343180730687363e-02 3.813622814005282891e+01 4.228941333501728295e+00 6.257314932422712861e-01 1.142505498166467515e+00 4.409629946066443984e-01 
2.046285447654647172e+01 9.817506689310463116e+03 1.675353348303363600e+16 2.700861458764090436e+34 2.745393263898030650e-02 5.933432614908445436e-08 3.529490268255049159e+04 2.808409922874353942e+05 4.036608015843492581e+02 1.393532900288747128e-02 3.836920982158425630e+01 4.192857499791763587e+00 6.280954419956374934e-01 1.142295644509130570e+00 4.406331994279860664e-01 
2.020919583130751818e+01 9.772406126902860706e+03 1.644779270392698200e+16 2.651572543831731756e+34 2.725065081351961405e-02 5.881027697109730436e-08 3.508358851077992585e+04 2.766939918297085678e+05 4.013104539265918902e+02 1.380848637696037266e-02 3.860347968683836939e+01 4.156397223817072550e+00 6.305055780925752362e-01 1.142083397110669418e+00 4.402879067375995437e-01 
1.995849589551573189e+01 9.727512751594169458e+03 1.614763148951953600e+16 2.603183118626004794e+34 2.704671552940115728e-02 5.829152049760065126e-08 3.487374881615105551e+04 2.726129701455219183e+05 3.989893189036926060e+02 1.368288876680066532e-02 3.883905371685850838e+01 4.119566664836440850e+00 6.329623767939595025e-01 1.141868805647634044e+00 4.399268004475603289e-01 
1.971072331636244002e+01 9.682825611589285472e+03 1.585294801648780200e+16 2.555676768061082705e+34 2.684208974648078297e-02 5.777804796446263843e-08 3.466538639953347592e+04 2.685971536511871964e+05 3.966999855300936701e+02 1.355852811524395699e-02 3.907593207285814429e+01 4.082357085762439830e+00 6.354675478737060734e-01 1.141652369739642570e+00 4.395491487119225771e-01 
1.946583857892390057e+01 9.638343759465578842e+03 1.556364231971603400e+16 2.509037376615507489e+34 2.663682026909129988e-02 5.726983848788569420e-08 3.445849887901416514e+04 2.646456794416093035e+05 3.944432374124588137e+02 1.343539314678666649e-02 3.931412122609617654e+01 4.044786086077860610e+00 6.380207207123592683e-01 1.141433926287955147e+00 4.391543573569999803e-01 
1.922381558105890775e+01 9.594066252152739253e+03 1.527961625838472200e+16 2.463249122865266340e+34 2.643084079415214047e-02 5.676689804487609864e-08 3.425308924244565424e+04 2.607578580991615891e+05 3.922236703151864958e+02 1.331347262208709345e-02 3.955363095435778575e+01 4.006836432082823585e+00 6.406243671539595397e-01 1.141214250001113317e+00 4.387418816778791419e-01 
1.898462052555706947e+01 9.549992150912858051e+03 1.500077348267892000e+16 2.418296474116792619e+34 2.622416508242217045e-02 5.626921831741987536e-08 3.404915715956738131e+04 2.569329146893071593e+05 3.900449208355634596e+02 1.319275480042429033e-02 3.979447111548918059e+01 3.968515840374919001e+00 6.432789982565220166e-01 1.140993545903435935e+00 4.383111601645638400e-01 
1.874822536030501396e+01 9.506120521320448461e+03 1.472701940110310800e+16 2.374164181137748415e+34 2.601675653880533221e-02 5.577680323901374254e-08 3.384670489104498847e+04 2.531701565230348497e+05 3.879127879617656731e+02 1.307322812133925559e-02 4.003665306630677634e+01 3.929816680751643254e+00 6.459864328687273671e-01 1.140772434702507887e+00 4.378616320971598919e-01 
1.851458958740063565e+01 9.462450433242707732e+03 1.445826114839350000e+16 2.330837272984118472e+34 2.580868267695807239e-02 5.528962819382971376e-08 3.364573267995328933e+04 2.494687523757328745e+05 3.857809636746122237e+02 1.295488539977110963e-02 4.028017407087781265e+01 3.890763220515927934e+00 6.487458406874978545e-01 1.140550703679201083e+00 4.373923818354046311e-01 
1.828369359345332867e+01 9.418980960819737447e+03 1.419440755401510000e+16 2.288301051921578048e+34 2.559985774335992587e-02 5.480772090789071627e-08 3.344624267843837879e+04 2.458281286622794287e+05 3.833868310813795688e+02 1.283770942725178700e-02 4.052506365426821588e+01 3.851333474406295032e+00 6.515603440182117234e-01 1.140329452803455990e+00 4.369032209604489236e-01 
1.805550587742392565e+01 9.375711182444940277e+03 1.393536911123419400e+16 2.246541088439621610e+34 2.539029754001749517e-02 5.433107344057756878e-08 3.324824000681006146e+04 2.422475771408807195e+05 3.810258832839157321e+02 1.272169478214912539e-02 4.077131739876223548e+01 3.811535994118373516e+00 6.544305870804857372e-01 1.140109167138652291e+00 4.363931453584011799e-01 
1.783000108417887830e+01 9.332640180745505859e+03 1.368105794675524200e+16 2.205543216356684710e+34 2.517997192134401735e-02 5.385970219982496353e-08 3.305172600579472783e+04 2.387264760172891838e+05 3.787039090811927053e+02 1.260682599473540028e-02 4.101896056161353954e+01 3.771366229480745957e+00 6.573583511823880565e-01 1.139890568744537314e+00 4.358618013016951065e-01 
1.760714079991232595e+01 9.289767042562896677e+03 1.343138779091133800e+16 2.165293528014501977e+34 2.496894409228820819e-02 5.339359734124942643e-08 3.285669792027801304e+04 2.352640627391290618e+05 3.764184390118991814e+02 1.249308910620768390e-02 4.126801233747186615e+01 3.730848301865023586e+00 6.603428542603495544e-01 1.139673395282714718e+00 4.353086521448982227e-01 
1.738690913039372177e+01 9.247090858933566778e+03 1.318627394839952000e+16 2.125778369560306669e+34 2.475713631331388428e-02 5.293278526290224750e-08 3.266316674299796432e+04 2.318598391179217433e+05 3.741724947186443160e+02 1.238047740566858637e-02 4.151847755200742540e+01 3.689962780543385445e+00 6.633874238279218183e-01 1.139459303258502754e+00 4.347328201204248010e-01 
1.716927802842304729e+01 9.204610725069620457e+03 1.294563326954928400e+16 2.086984336314984205e+34 2.454455900269224972e-02 5.247728286294712591e-08 3.247113103195543590e+04 2.285131789802444400e+05 3.719675495299433123e+02 1.226897221814950145e-02 4.177039356473726883e+01 3.648718384499291645e+00 6.664928027357516216e-01 1.139248731005993998e+00 4.341341178400224821e-01 
1.695422501766390155e+01 9.162325740339661934e+03 1.270938412211599800e+16 2.048898268225848293e+34 2.433118898677759726e-02 5.202710717824245100e-08 3.228059886758443827e+04 2.252235281876123336e+05 3.698059820733940910e+02 1.215856568372739033e-02 4.202376895995784878e+01 3.607112982225016751e+00 6.696608909481795990e-01 1.139042827499482824e+00 4.335116750626937243e-01 
1.674171436762438248e+01 9.120235008249721432e+03 1.247744636358902200e+16 2.011507245402392593e+34 2.411708426630799693e-02 5.158226279123319840e-08 3.209156580513616791e+04 2.219901950941357936e+05 3.676879939503104993e+02 1.204923869791487377e-02 4.227864355151928066e+01 3.565170226211032745e+00 6.728910345906893298e-01 1.138841396646187221e+00 4.328652637762276378e-01 
