# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 1, r = 1.000000e+10 cm, r = 16832.386518751366 rg, structure = BellLin, mu = 0.62
1.248971995768284060e+01 1.000000000000000000e+04 1.803439570257686800e+16 2.907351116975877209e+34 2.491813621863204001e-02 3.881270029485254136e-08 3.103500472598491615e+04 1.615355706169732148e+05 2.233923041882223401e+02 1.448334458967639495e-02 3.465117399201695747e+01 3.926065976155889370e+00 6.457037234704920969e-01 1.139657407918569065e+00 4.373555751331252295e-01 
1.233372226072322242e+01 9.954061083088736268e+03 1.770528004477206800e+16 2.854293903908498768e+34 2.471734941138788166e-02 3.847437507800916824e-08 3.085088161305415633e+04 1.591774889215771691e+05 2.221298792960256492e+02 1.435219868314521925e-02 3.486183603987019808e+01 3.886607274267900980e+00 6.484712066541109543e-01 1.139394693589596885e+00 4.368643299253236467e-01 
1.217953981615397119e+01 9.908333204586158899e+03 1.738217052756644000e+16 2.802204949487969271e+34 2.451585263894877006e-02 3.813971311245790475e-08 3.066812183109581019e+04 1.568581531690038100e+05 2.208898783929272156e+02 1.422235099219183035e-02 3.507367460555555283e+01 3.846775725914411304e+00 6.512930738016933230e-01 1.139131088588463570e+00 4.363521465427827040e-01 
1.202715494952995634e+01 9.862815395004698075e+03 1.706495754291190000e+16 2.751066583641707531e+34 2.431361830050145917e-02 3.780872118062272678e-08 3.048672926125567392e+04 1.545771578635772748e+05 2.196747390958819892e+02 1.409378975138312826e-02 3.528669923806397435e+01 3.806566762019242933e+00 6.541710605917642196e-01 1.138867305750794756e+00 4.358183377240586465e-01 
1.187654761488999178e+01 9.817506689310463116e+03 1.675353348303363600e+16 2.700861458764090436e+34 2.411065316778080586e-02 3.748140187280655382e-08 3.030670647909424952e+04 1.523340765913875948e+05 2.184354980611593930e+02 1.396650294766817527e-02 3.550091982381555766e+01 3.765987030710146843e+00 6.571059760385493664e-01 1.138603780599431348e+00 4.352621955464358039e-01 
1.172770068224892093e+01 9.772406126902860706e+03 1.644779270392698200e+16 2.651572543831731756e+34 2.390694200309218670e-02 3.715776698814362599e-08 3.012805555807675773e+04 1.501285209850175888e+05 2.171199425604941098e+02 1.384047446390350954e-02 3.571635694014251072e+01 3.725036621388269520e+00 6.600992550317761332e-01 1.138341194407464396e+00 4.346832638280726524e-01 
1.158059739744766148e+01 9.727512751594169458e+03 1.614763148951953600e+16 2.603183118626004794e+34 2.370247296439058002e-02 3.683782823185353777e-08 2.995078013454519896e+04 1.479601125905421795e+05 2.158251625394922826e+02 1.371569039948885432e-02 3.593302748722233275e+01 3.683716772922589477e+00 6.631523140893887946e-01 1.138080326188016356e+00 4.340809516385529809e-01 
1.143521857930753072e+01 9.682825611589285472e+03 1.585294801648780200e+16 2.555676768061082705e+34 2.349725773445759947e-02 3.652159320850108447e-08 2.977488260471556714e+04 1.458284528522644541e+05 2.145517914417941086e+02 1.359213669176025270e-02 3.615094893383389518e+01 3.642036467159918800e+00 6.662658892862500792e-01 1.137821667394433911e+00 4.334546417736809820e-01 
1.129155019374193003e+01 9.638343759465578842e+03 1.556364231971603400e+16 2.509037376615507489e+34 2.329127041352060945e-02 3.620908289437712246e-08 2.960036660403206770e+04 1.437332052885435114e+05 2.133014121864400465e+02 1.346979602756507438e-02 3.637014911260735772e+01 3.599993151764552035e+00 6.694418690109176229e-01 1.137566259791497725e+00 4.328039490291043512e-01 
1.114957407602541295e+01 9.594066252152739253e+03 1.527961625838472200e+16 2.463249122865266340e+34 2.308452305852216543e-02 3.590030724528483231e-08 2.942723632707555225e+04 1.416739941752606828e+05 2.120751273413911235e+02 1.334865597530996047e-02 3.659064446411213822e+01 3.557596251968017764e+00 6.726810757089966009e-01 1.137314764693380109e+00 4.321281485435640168e-01 
