# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+00 Msun, alpha = 1, structure = BellLin, mu = 0.62
1.000000000000000000e+09 3.366477303750272768e+03 6.188212807429076747e+02 1.398102092011871488e+18 1.397238580973638745e+05 4.955583040057713573e+35 7.505727433483432021e-02 6.988654783076222465e-06 6.500527606897429796e+05 6.092347834659206867e+08 1.104468648349553632e+03 7.391617883825976065e-01 3.416899631321337782e+00 4.960097463778090798e+00 5.898598923009292783e-01 1.189546540086140469e+00 4.231132118757712224e-01 
1.035321843295661569e+09 3.485387487531741499e+03 6.103403882140056567e+02 1.398102092011871488e+18 1.361512100385763042e+05 5.045013386226058613e+35 7.501628549590204365e-02 6.672300322320211225e-06 6.335843178867391543e+05 5.669209427744677067e+08 1.106320529391878381e+03 7.168444825366350193e-01 3.472245518843229739e+00 4.973860288289083442e+00 5.888919198149873413e-01 1.188552256191428569e+00 4.236645799130472345e-01 
1.071891319205126405e+09 3.608497798190996946e+03 6.018588245144311486e+02 1.398102092011871488e+18 1.326696011411550571e+05 5.136009448714552695e+35 7.498031122334906928e-02 6.368356048832904122e-06 6.174914951524662320e+05 5.273522609285693169e+08 1.107872507074007899e+03 6.952690215464678580e-01 3.528167605135705820e+00 4.987321222584433222e+00 5.879485288302755963e-01 1.187578417603693870e+00 4.242060807382201371e-01 
1.109752496412069798e+09 3.735956591951439350e+03 5.933816666900379460e+02 1.398102092011871488e+18 1.292767250316722348e+05 5.228598639556132689e+35 7.494925592329965136e-02 6.076462834298562849e-06 6.017674850661032833e+05 4.903679299496896267e+08 1.109127616019980678e+03 6.744077975814919412e-01 3.584668330094316069e+00 5.000481081221004764e+00 5.870293645197980359e-01 1.186624742473676442e+00 4.247377611497106242e-01 
1.148951000187310934e+09 3.867917465251757676e+03 5.849138415870023664e+02 1.398102092011871488e+18 1.259703331734084932e+05 5.322808850704377948e+35 7.492302337418625668e-02 5.796263533127479783e-06 5.864055369760113535e+05 4.558150713089190722e+08 1.110089178491071834e+03 6.542343444286978782e-01 3.641750300585095967e+00 5.013340576618644739e+00 5.861340866063606825e-01 1.185690944347500997e+00 4.252596745533906430e-01 
1.189534067370320797e+09 4.004539439839933038e+03 5.764601235477721275e+02 1.398102092011871488e+18 1.227482334423746215e+05 5.418668462435738078e+35 7.490152029021772406e-02 5.527403591912106055e-06 5.713989585296872538e+05 4.235484692181641459e+08 1.110760793149062692e+03 6.347232863603422537e-01 3.699416293812820555e+00 5.025900787147999260e+00 5.852623424990699430e-01 1.184776733654112402e+00 4.257718812258666774e-01 
1.231550603292826176e+09 4.145987154405255751e+03 5.680251319225912994e+02 1.398102092011871488e+18 1.196082887371872639e+05 5.516206351899000399e+35 7.488465610245238768e-02 5.269531618519872649e-06 5.567411172621928854e+05 3.934303026446561813e+08 1.111146321065597249e+03 6.158502895601672966e-01 3.757669259823654073e+00 5.038163123432079615e+00 5.844137694237169223e-01 1.183881818139062903e+00 4.262744478615332344e-01 
1.275051240713012934e+09 4.292431062978984301e+03 5.596133285335735081e+02 1.398102092011871488e+18 1.165484156220582518e+05 5.615451901814318449e+35 7.487233947524016275e-02 5.022299910879700531e-06 5.424254422171968035e+05 3.653298770405296087e+08 1.111249868083938736e+03 5.975920159382565044e-01 3.816512323183641531e+00 5.050128852648220423e+00 5.835880213637291147e-01 1.183005902391973896e+00 4.267674464942663448e-01 
1.320088400831416845e+09 4.444047640342957493e+03 5.512290167659192548e+02 1.398102092011871488e+18 1.135665830021569273e+05 5.716435009324591407e+35 7.486448194474383533e-02 4.785364944278051963e-06 5.284454254113147035e+05 3.391233565107246041e+08 1.111075767173973190e+03 5.799260788087119423e-01 3.875948785592051138e+00 5.061799580973901591e+00 5.827847416398499458e-01 1.182148689291374399e+00 4.272509548131873114e-01 
1.366716356462004423e+09 4.601019594693605541e+03 5.428763404409237410e+02 1.398102092011871488e+18 1.106608108306267823e+05 5.819186095001809449e+35 7.486099779209430538e-02 4.558387819314376510e-06 5.147946233297722647e+05 3.146934975879212618e+08 1.110628565622738279e+03 5.628310008025733113e-01 3.935982127528029118e+00 5.073177232040142037e+00 5.820035642644290075e-01 1.181309880378664801e+00 4.277250557420115840e-01 
