# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 0.01, structure = BellLin, mu = 0.62
1.000000000000000000e+09 1.683238651875136384e+03 3.327779455517293536e+04 2.796204184023742976e+18 1.969667142622084357e+05 1.383785721104906527e+36 1.262337515312689229e-01 2.294339365622611454e-04 2.545274097162716556e+06 7.831315307105580139e+10 6.471594899222724780e+04 1.351553655279045252e+00 3.669756851970043421e+00 5.300108344460118914e+00 5.745018013024278947e-01 1.212823226631331019e+00 4.105785270655015751e-01 
1.035321843295661569e+09 1.742693743765870749e+03 3.295165071558524505e+04 2.796204184023742976e+18 1.919413835677254829e+05 1.409080442792705637e+36 1.260128354746391510e-01 2.203762784608599939e-04 2.484478705221530516e+06 7.342477410050601196e+10 6.521143391015746602e+04 1.308664333015256975e+00 3.737566040024830283e+00 5.323304856923310346e+00 5.730495478934679587e-01 1.211464181522108108e+00 4.113113521145832507e-01 
1.071891319205126405e+09 1.804248899095498473e+03 3.262111090088649144e+04 2.796204184023742976e+18 1.870436310146067117e+05 1.434818015931461214e+36 1.258032156635035814e-01 2.116010122105009301e-04 2.424937069901025854e+06 6.881144993599557495e+10 6.568932553512176673e+04 1.267275245877109935e+00 3.806233524957599368e+00 5.346274225460462937e+00 5.716214459101296441e-01 1.210125788329925234e+00 4.120360941587505321e-01 
1.109752496412069798e+09 1.867978295975719675e+03 3.228643240983792202e+04 2.796204184023742976e+18 1.822702456654217967e+05 1.461006193814923565e+36 1.256047083897787742e-01 2.031035314063932783e-04 2.366630104986873921e+06 6.446000797654164886e+10 6.614930210541139240e+04 1.227328881711087893e+00 3.875759947844193309e+00 5.369009774525122403e+00 5.702174956866137290e-01 1.208808096951951683e+00 4.127525667106839991e-01 
1.148951000187310934e+09 1.933958732625878838e+03 3.194787333225452676e+04 2.796204184023742976e+18 1.776180961563446617e+05 1.487652865478900164e+36 1.254171321309128506e-01 1.948790848739624746e-04 2.309538856979652774e+06 6.035774426021613312e+10 6.659107196121595916e+04 1.188770073725087251e+00 3.946146009966660984e+00 5.391505190982808671e+00 5.688376759510589409e-01 1.207511137942094859e+00 4.134605989672171522e-01 
1.189534067370320797e+09 2.002269719919966519e+03 3.160569205721940307e+04 2.796204184023742976e+18 1.730841287815277756e+05 1.514766058077761204e+36 1.252403080400324997e-01 1.869227881636145977e-04 2.253644502664457541e+06 5.649241697580860138e+10 6.701437169319440727e+04 1.151545903098187162e+00 4.017392485485545173e+00 5.413754566144315383e+00 5.674819425880369694e-01 1.206234923371156453e+00 4.141600352515392158e-01 
1.231550603292826176e+09 2.072993577202627876e+03 3.126014695666236366e+04 2.796204184023742976e+18 1.686653656209420878e+05 1.542353939302600257e+36 1.250740584965640556e-01 1.792296121755546209e-04 2.198928399346632417e+06 5.285223396846637726e+10 6.741896519304218236e+04 1.115605828284878198e+00 4.089499529559529556e+00 5.435751568401079759e+00 5.661503119396326111e-01 1.204979609503580962e+00 4.148506258422672843e-01 
1.275051240713012934e+09 2.146215531489492150e+03 3.091149565488289227e+04 2.796204184023742976e+18 1.643589027108373703e+05 1.570424819841684016e+36 1.249182075765218058e-01 1.717944367002649682e-04 2.145371996355630923e+06 4.942585591374873352e+10 6.780464183549543668e+04 1.080901205904615470e+00 4.162467804570794350e+00 5.457490644718159700e+00 5.648427325012289613e-01 1.203745227019419550e+00 4.155322021659018095e-01 
1.320088400831416845e+09 2.222023820171478746e+03 3.055999449599989020e+04 2.796204184023742976e+18 1.601619082559693197e+05 1.598987155884005742e+36 1.247725820121532853e-01 1.646120663370417782e-04 2.092956814825029811e+06 4.620238869926760101e+10 6.817122148496824957e+04 1.047385145779530680e+00 4.236298821636252043e+00 5.478967365109761012e+00 5.635590547761344382e-01 1.202531623379642145e+00 4.162047226671616307e-01 
1.366716356462004423e+09 2.300509797346802770e+03 3.020589839534879866e+04 2.796204184023742976e+18 1.560716208827595983e+05 1.628049551666662261e+36 1.246370104045628896e-01 1.576772015267285205e-04 2.041664540016386192e+06 4.317136544397540283e+10 6.851855250689867535e+04 1.015012823664831032e+00 4.310993696070835490e+00 5.500177102163626763e+00 5.622991705375647298e-01 1.201338751551734418e+00 4.168680786946917238e-01 
